source_sheet,source_row,model_key,equipment_group_rpo,orderable_rpo,ref_rpo,description,row_kind,matched_primary_row_key,match_status,source_detail_raw
Equipment Groups 1,4,corvette,,,,,derived_cross_check,,unmatched_primary_review,
Equipment Groups 1,5,corvette,,,UQH,"Audio system feature, Bose Performance Series Sound System with 14 speakers",derived_cross_check,,unmatched_primary_review,"Audio system feature, Bose Performance Series Sound System with 14 speakers"
Equipment Groups 1,6,corvette,,,AP9,"Cargo nets, 2",derived_cross_check,,unmatched_primary_review,"Cargo nets, 2"
Equipment Groups 1,7,corvette,,,UV6,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",derived_cross_check,,unmatched_primary_review,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit"
Equipment Groups 1,8,corvette,,,AQA,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated",derived_cross_check,,unmatched_primary_review,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated"
Equipment Groups 1,9,corvette,UQT,UQT,,Performance data and video recorder,derived_cross_check,,unmatched_primary_review,Performance data and video recorder
Equipment Groups 1,10,corvette,,,UVA,"HD Front and Rear Vision Cameras, front camera is curb view",derived_cross_check,,unmatched_primary_review,"HD Front and Rear Vision Cameras, front camera is curb view"
Equipment Groups 1,11,corvette,AH2,AH2,,"Seats, GT2 bucket",derived_cross_check,,unmatched_primary_review,"Seats, GT2 bucket"
Equipment Groups 1,12,corvette,,,KQV,"Seats, heated and vented driver and passenger",derived_cross_check,,unmatched_primary_review,"Seats, heated and vented driver and passenger"
Equipment Groups 1,13,corvette,,,AL9,"Seat adjuster, power driver lumbar control",derived_cross_check,,unmatched_primary_review,"Seat adjuster, power driver lumbar control"
Equipment Groups 1,14,corvette,,,AT9,"Seat adjuster, power passenger lumbar control",derived_cross_check,,unmatched_primary_review,"Seat adjuster, power passenger lumbar control"
Equipment Groups 1,15,corvette,,,AHE,"Seat adjuster, driver power bolster",derived_cross_check,,unmatched_primary_review,"Seat adjuster, driver power bolster"
Equipment Groups 1,16,corvette,,,AHH,"Seat adjuster, passenger power bolster",derived_cross_check,,unmatched_primary_review,"Seat adjuster, passenger power bolster"
Equipment Groups 1,17,corvette,,,KI3,"Steering wheel, heated",derived_cross_check,,unmatched_primary_review,"Steering wheel, heated"
Equipment Groups 1,18,corvette,,,,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console
1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.",derived_cross_check,,unmatched_primary_review,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console
1. When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede."
Equipment Groups 1,19,corvette,,,IWE,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",derived_cross_check,,unmatched_primary_review,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim"
Equipment Groups 1,20,corvette,,,UTJ,"Theft-deterrent system, electrical, unauthorized entry, activates the horn",derived_cross_check,,unmatched_primary_review,"Theft-deterrent system, electrical, unauthorized entry, activates the horn"
Equipment Groups 1,21,corvette,,,UTU,"Theft deterrent sensor, vehicle inclination",derived_cross_check,,unmatched_primary_review,"Theft deterrent sensor, vehicle inclination"
Equipment Groups 1,22,corvette,,,UTV,"Theft deterrent sensor, vehicle interior movement",derived_cross_check,,unmatched_primary_review,"Theft deterrent sensor, vehicle interior movement"
Equipment Groups 1,23,corvette,,,UG1,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor",derived_cross_check,,unmatched_primary_review,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor"
Equipment Groups 1,24,corvette,,,K7B,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks",derived_cross_check,,unmatched_primary_review,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks"
Equipment Groups 1,25,corvette,,,DYX,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators",derived_cross_check,,unmatched_primary_review,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators"
Equipment Groups 1,26,corvette,,,UFG,Rear Cross Traffic Alert,derived_cross_check,,unmatched_primary_review,Rear Cross Traffic Alert
Equipment Groups 1,27,corvette,,,UFT,Side Blind Zone Alert,derived_cross_check,,unmatched_primary_review,Side Blind Zone Alert
Equipment Groups 1,28,corvette,Additional Options,Additional Options,,,derived_cross_check,,unmatched_primary_review,
Equipment Groups 1,29,corvette,R6P,R6P,,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",derived_cross_check,,unmatched_primary_review,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries."
Equipment Groups 1,30,corvette,D30,D30,,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",derived_cross_check,,unmatched_primary_review,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations 
1. To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge."
Equipment Groups 1,31,corvette,R6X,R6X,,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",derived_cross_check,,unmatched_primary_review,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart."
Equipment Groups 1,32,corvette,PEF,PEF,,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory",derived_cross_check,,unmatched_primary_review,"LPO, Contoured Liner Protection Package, includes (CAV) contoured cargo area liners with Jake logo and (RIA) all-weather floor liners with Jake logo, Genuine Corvette Accessory"
