option_id,rpo,price,option_name,description,detail_raw,section_id,selectable,display_order,active,display_behavior,
opt_uvb_001,UVB,,HD Rear Vision Camera,,,sec_1lte_001,FALSE,20,TRUE,,
opt_uqs_001,UQS,,"Audio system feature, Bose Premium 10-speaker system",,,sec_1lte_001,FALSE,30,TRUE,,
opt_k7a_001,K7A,,"Wireless Phone Charging, wireless charging pad for phone or portable devices, located on center console",,,sec_1lte_001,FALSE,40,TRUE,,
opt_dwk_001,DWK,,"Mirrors, outside heated, power-adjustable, manual-folding with turn signal indicators",,,sec_1lte_001,FALSE,50,TRUE,,
opt_uv6_001,UV6,,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",,,sec_2lte_001,FALSE,10,TRUE,,
opt_uqh_001,UQH,,"Audio system feature, Bose Performance Series Sound System with 14 speakers",,,sec_2lte_001,FALSE,30,TRUE,,
opt_uva_001,UVA,,"HD Front and Rear Vision Cameras, front camera is curb view",,,sec_2lte_001,FALSE,40,TRUE,,
opt_ufg_001,UFG,,Rear Cross Traffic Alert,,,sec_2lte_001,FALSE,50,TRUE,,
opt_k7b_001,K7B,,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks",,,sec_2lte_001,FALSE,60,TRUE,,
opt_ug1_001,UG1,,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor",,,sec_2lte_001,FALSE,70,TRUE,,
opt_ki3_001,KI3,,"Steering wheel, heated",,,sec_2lte_001,FALSE,80,TRUE,,
opt_kqv_001,KQV,,"Seats, heated and vented driver and passenger",,,sec_2lte_001,FALSE,100,TRUE,,
opt_al9_001,AL9,,"Seat adjuster, power driver lumbar control",,,sec_2lte_001,FALSE,110,TRUE,,
opt_at9_001,AT9,,"Seat adjuster, power passenger lumbar control",,,sec_2lte_001,FALSE,120,TRUE,,
opt_ahe_001,AHE,,"Seat adjuster, driver power bolster",,,sec_2lte_001,FALSE,130,TRUE,,
opt_ahh_001,AHH,,"Seat adjuster, passenger power bolster",,,sec_2lte_001,FALSE,140,TRUE,,
opt_aqa_001,AQA,,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated",,,sec_2lte_001,FALSE,150,TRUE,,
opt_ap9_001,AP9,,"Cargo nets, 2",,,sec_2lte_001,FALSE,160,TRUE,,
opt_dyx_001,DYX,,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators",,,sec_2lte_001,FALSE,170,TRUE,,
opt_uft_001,UFT,,Side Blind Zone Alert,,,sec_2lte_001,FALSE,180,TRUE,,
opt_utj_001,UTJ,,"Theft-deterrent system, electrical, unauthorized entry, activates the horn",,,sec_2lte_001,FALSE,190,TRUE,,
opt_utv_001,UTV,,"Theft deterrent sensor, vehicle interior movement",,,sec_2lte_001,FALSE,200,TRUE,,
opt_utu_001,UTU,,"Theft deterrent sensor, vehicle inclination",,,sec_2lte_001,FALSE,210,TRUE,,
opt_iwe_001,IWE,,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",,,sec_3lte_001,FALSE,20,TRUE,,
opt_673,,,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console",,"When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.",sec_3lte_001,FALSE,10,TRUE,,
opt_eyt_001,EYT,0,Carbon Flash Exterior Badge Package,,,sec_badg_001,TRUE,10,TRUE,default_selected,
opt_eyk_001,EYK,395,Chrome Exterior Badge Package,,,sec_badg_001,TRUE,20,TRUE,,
opt_j6d_001,J6D,0,"Calipers, Dark Gray Metallic-painted",,,sec_cali_001,TRUE,15,TRUE,default_selected,
opt_j6f_001,J6F,795,"Calipers, Bright Red-painted",,,sec_cali_001,TRUE,20,TRUE,,
opt_j6e_001,J6E,795,"Calipers, Velocity Yellow-painted",,,sec_cali_001,TRUE,30,TRUE,,
opt_j6n_001,J6N,795,"Calipers, Edge Red-painted",,,sec_cali_001,TRUE,40,TRUE,,
opt_j6b_001,J6B,795,"Calipers, Blue-painted",,,sec_cali_001,TRUE,50,TRUE,,
opt_j6l_001,J6L,795,"Calipers, Orange-painted",,,sec_cali_001,TRUE,70,TRUE,,
opt_j6o_001,J6O,795,"Calipers, Bronze-painted",,,sec_cali_001,TRUE,80,TRUE,,
opt_d30_001,D30,1495,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat belt color combinations",,"To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",sec_colo_001,TRUE,10,TRUE,auto_only,
opt_r6x_001,R6X,995,Custom Interior Trim and Seat Combination,,"SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",sec_colo_001,TRUE,20,TRUE,auto_only,
opt_r8c_001,R8C,1695,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN",,Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.,sec_cust_001,TRUE,10,TRUE,,
opt_pin_001,PIN,5495,Customer VIN ending reservation,,This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.,sec_cust_001,TRUE,20,TRUE,,
opt_bv4_001,BV4,395,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN",,Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery.,sec_cust_001,TRUE,30,TRUE,,
opt_pbc_001,PBC,9995,Customer Engine Build Program,,,sec_cust_001,TRUE,40,TRUE,,
