proposal_selectable_id,model_key,orderable_rpo,candidate_canonical_selectable_id_preview,candidate_bucket,triage_status,source_ref_count,proposal_label,description,recommended_action,readiness_impact,notes
prop_stingray_interior_36s,stingray,36S,sel_stingray_36s,clean_new_candidate,candidate_for_future_apply_plan,6,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console","Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_379,stingray,379,sel_stingray_379,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Orange","Seat belt color, Orange",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_37s,stingray,37S,sel_stingray_37s,clean_new_candidate,candidate_for_future_apply_plan,6,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console","Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_38s,stingray,38S,sel_stingray_38s,clean_new_candidate,candidate_for_future_apply_plan,6,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console","Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3a9,stingray,3A9,sel_stingray_3a9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Santorini Blue","Seat belt color, Santorini Blue",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3f9,stingray,3F9,sel_stingray_3f9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Torch Red","Seat belt color, Torch Red",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3m9,stingray,3M9,sel_stingray_3m9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Yellow","Seat belt color, Yellow",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_interior_3n9,stingray,3N9,sel_stingray_3n9,clean_new_candidate,candidate_for_future_apply_plan,6,"Seat belt color, Natural","Seat belt color, Natural",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5dg,stingray,5DG,sel_stingray_5dg,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
prop_stingray_exterior_5do,stingray,5DO,sel_stingray_5do,clean_new_candidate,candidate_for_future_apply_plan,6,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",include_in_future_apply_plan_after_section_mapping,mapping_needed,Candidate IDs remain preview-only and are not approved for insertion.
