source,source_sheet,source_row,model_key,severity,reason,raw_values,suspicion_type,review_bucket,recommended_action,section_family,rpo,raw_value,classification_reason,readiness_impact,decision_review_status,decision_classification,decision_canonical_handling,decision_recommended_action
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,AH2,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,AH2,AH2,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,B6P,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,B6P,B6P,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,C2Z,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,C2Z,C2Z,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,CFV,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,CFV,CFV,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,D3V,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,D3V,D3V,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,DY0,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,DY0,DY0,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,SL9,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,SL9,SL9,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,UQT,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,UQT,UQT,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,WUB,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,WUB,WUB,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
rpo_counts,,,,review,rpo_appears_as_orderable_and_ref_only,ZZ3,rpo_role_overlap,canonical_review_required,review_orderable_vs_reference_usage_before_proposal,,ZZ3,ZZ3,The same raw RPO appears in both orderable and reference-only staging evidence.,review_required,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
color_trim_interior_rows,Color and Trim 1,10,,info,color_trim_model_key_ambiguous,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",model_scope_ambiguous,color_trim_review_only,confirm_model_scope_or_import_map; do_not_variant_expand,color_trim,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTE"",""HU1"",""HU2"",""HNK"",""HUE"",""HZN"",""H8T"",""HUW"",""EJH"",""HUC"",""HVZ"",""HAG"",""--""]",Color/Trim rows are model-scoped evidence; ambiguous model_key remains visible until explicitly mapped or accepted.,review_required,,,,
