relationship_key,legacy_surface,legacy_index,legacy_id,relationship_type,source_id,target_id,group_id,source_label,target_label,legacy_detail,coverage_status,coverage_confidence,covering_file,covering_row_id,coverage_note
legacy_rel_0026,rules,25,rule_opt_5jr_001_includes_opt_drg_001,includes,opt_5jr_001,opt_drg_001,,"LPO, Outside mirror covers in visible Carbon Fiber",Carbon Flash painted mirrors,"Included with 5JR LPO, Outside mirror covers in visible Carbon Fiber.",not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0036,rules,35,rule_opt_5vm_001_requires_opt_5zu_001,requires,opt_5vm_001,opt_5zu_001,,,"LPO, High wing spoiler, Body color","Requires 5ZU LPO, High wing spoiler, Body color.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0037,rules,36,rule_opt_5vm_001_requires_opt_5zw_001,requires,opt_5vm_001,opt_5zw_001,,,,"Requires 5ZW LPO, Two-Stanchion spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0038,rules,37,rule_opt_5vm_001_requires_opt_5zz_001,requires,opt_5vm_001,opt_5zz_001,,,"LPO, High wing spoiler","Requires 5ZZ LPO, High wing spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0039,rules,38,rule_opt_5vm_001_requires_opt_z51_001,requires,opt_5vm_001,opt_z51_001,,,Z51 Performance Package,Requires Z51 Z51 Performance Package.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0044,rules,43,rule_opt_5w8_001_requires_opt_5zu_001,requires,opt_5w8_001,opt_5zu_001,,,"LPO, High wing spoiler, Body color","Requires 5ZU LPO, High wing spoiler, Body color.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0045,rules,44,rule_opt_5w8_001_requires_opt_5zw_001,requires,opt_5w8_001,opt_5zw_001,,,,"Requires 5ZW LPO, Two-Stanchion spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0046,rules,45,rule_opt_5w8_001_requires_opt_5zz_001,requires,opt_5w8_001,opt_5zz_001,,,"LPO, High wing spoiler","Requires 5ZZ LPO, High wing spoiler.",not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0047,rules,46,rule_opt_5w8_001_requires_opt_z51_001,requires,opt_5w8_001,opt_z51_001,,,Z51 Performance Package,Requires Z51 Z51 Performance Package.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0053,rules,52,rule_opt_bc4_001_includes_opt_d3v_001,includes,opt_bc4_001,opt_d3v_001,,NEW! Blue LS6 engine cover,Engine lighting,Included with BC4 NEW! Blue LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0055,rules,54,rule_opt_bcp_001_includes_opt_d3v_001,includes,opt_bcp_001,opt_d3v_001,,Edge Red LS6 engine cover,Engine lighting,Included with BCP Edge Red LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0057,rules,56,rule_opt_bcs_001_includes_opt_d3v_001,includes,opt_bcs_001,opt_d3v_001,,Sterling Silver LS6 engine cover,Engine lighting,Included with BCS Sterling Silver LS6 engine cover.,not_found_in_csv,inferred,,,Set-based auto-add context row data/stingray/logic/auto_adds.csv:aa_cover_d3v likely covers related behavior but is not a direct legacy source/target match.
legacy_rel_0091,rules,90,rule_opt_e60_001_includes_opt_tr7_001,includes,opt_e60_001,opt_tr7_001,,Front lift adjustable height with memory,Headlamp control,Included with E60 Front lift adjustable height with memory.,not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0094,rules,93,rule_opt_fe4_001_includes_opt_b4z_001,includes,opt_fe4_001,opt_b4z_001,,Suspension,Performance Traction Management,Included with FE4 Suspension.,not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0095,rules,94,rule_opt_fe4_001_requires_opt_z51_001,requires,opt_fe4_001,opt_z51_001,,Suspension,Z51 Performance Package,Requires Z51 Z51 Performance Package.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0096,rules,95,rule_opt_nwi_001_requires_opt_wub_001,requires,opt_nwi_001,opt_wub_001,,NEW! Exhaust tips,NEW! Exhaust,Requires WUB NEW! Exhaust.,not_found_in_csv,none,,,"Requires relationships have an apparent home in dependency_rules.csv, but no matching row was found."
legacy_rel_0127,rules,126,rule_opt_pcx_001_includes_opt_5dg_001,includes,opt_pcx_001,opt_5dg_001,,"LPO, Tech Bronze Accent Package","LPO, 20-spoke Tech Bronze aluminum wheels","Included with PCX LPO, Tech Bronze Accent Package.",not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0128,rules,127,rule_opt_pcx_001_includes_opt_sfz_001,includes,opt_pcx_001,opt_sfz_001,,"LPO, Tech Bronze Accent Package","LPO, Dark Stealth crossed flags emblem","Included with PCX LPO, Tech Bronze Accent Package.",not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
legacy_rel_0129,rules,128,rule_opt_pcx_001_includes_opt_sht_001,includes,opt_pcx_001,opt_sht_001,,"LPO, Tech Bronze Accent Package","LPO, Jake hood graphic with Tech Bronze accent","Included with PCX LPO, Tech Bronze Accent Package.",not_found_in_csv,none,,,No direct selectable source/target auto-add row found.
