source_file,source_field,source_values,target_table,target_field,alignment_status,transformation_needed,schema_context_confidence,notes
meta/source_refs.csv,source_ref_id,staging_variant_matrix_rows.csv:Exterior 1:100:2a5c23a2c5|staging_variant_matrix_rows.csv:Exterior 1:100:2b1c619f8f|staging_variant_matrix_rows.csv:Exterior 1:100:2bf0321220|staging_variant_matrix_rows.csv:Exterior 1:100:710d962615|staging_variant_matrix_rows.csv:Exterior 1:100:b3696208f7|staging_variant_matrix_rows.csv:Exterior 1:100:ef6fdc5abc|staging_variant_matrix_rows.csv:Exterior 1:101:4d0169e8bc|staging_variant_matrix_rows.csv:Exterior 1:101:5c9e55e49a|staging_variant_matrix_rows.csv:Exterior 1:101:662f5c9528|staging_variant_matrix_rows.csv:Exterior 1:101:8d71d0560f|staging_variant_matrix_rows.csv:Exterior 1:101:90994eacb1|staging_variant_matrix_rows.csv:Exterior 1:101:cc8a23eb25|...(+3518),data/stingray/meta/source_refs.csv,source_ref_id,review_required,yes,partial,"Source reference ID format should be reviewed before canonical use. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,source_file,staging_variant_matrix_rows.csv,data/stingray/meta/source_refs.csv,source_file,review_required,yes,partial,"Generated staging source filename. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,source_sheet,Exterior 1|Exterior 2|Exterior 3|Exterior 4|Interior 1|Interior 2|Interior 3|Interior 4|Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|...(+3),data/stingray/meta/source_refs.csv,source_sheet,review_required,yes,partial,"Workbook sheet traceability. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,source_row,10|100|101|102|103|104|11|12|13|14|15|16|...(+89),data/stingray/meta/source_refs.csv,source_row,review_required,yes,partial,"Workbook row traceability. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,source_column_or_cell_range,grand_sport_1lt_e07|grand_sport_1lt_e67|grand_sport_2lt_e07|grand_sport_2lt_e67|grand_sport_3lt_e07|grand_sport_3lt_e67|stingray_1lt_c07|stingray_1lt_c67|stingray_2lt_c07|stingray_2lt_c67|stingray_3lt_c07|stingray_3lt_c67|...(+14),data/stingray/meta/source_refs.csv,source_column_or_cell_range,review_required,yes,partial,"Workbook cell/column traceability. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,source_field,variant_matrix_row,data/stingray/meta/source_refs.csv,source_field,review_required,yes,partial,"Extractor field context. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,raw_value,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.|3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.|Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.|Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.|Battery Protection Package|Battery Protection Package
1. 12-volt battery.|Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|...(+253)",data/stingray/meta/source_refs.csv,raw_value,review_required,yes,partial,"Raw workbook evidence. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,raw_status,--|A|A/D|A/D1|A/D2|A1|A2|A3,data/stingray/meta/source_refs.csv,raw_status,review_required,yes,partial,"Raw status evidence. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,orderable_rpo,17A|20A|36S|379|37S|38S|3A9|3F9|3M9|3N9|55A|5DG|...(+201),data/stingray/meta/source_refs.csv,orderable_rpo,review_required,yes,partial,"Orderable RPO source evidence. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
meta/source_refs.csv,ref_rpo,,data/stingray/meta/source_refs.csv,ref_rpo,review_required,yes,partial,"Reference-only RPO source evidence. Missing canonical source_refs schema is a schema-context gap, not an importer failure."
