option_id,rpo,price,option_name,description,detail_raw,section_id,selectable,display_order,active,display_behavior,
opt_dwk_001,DWK,,"Mirrors, outside heated, power-adjustable, manual-folding with turn signal indicators",,,sec_1lte_001,FALSE,50,TRUE,,
opt_k7a_001,K7A,,"Wireless Phone Charging, wireless charging pad for phone or portable devices, located on center console",,,sec_1lte_001,FALSE,40,TRUE,,
opt_uqs_001,UQS,,"Audio system feature, Bose Premium 10-speaker system",,,sec_1lte_001,FALSE,30,TRUE,,
opt_uvb_001,UVB,,HD Rear Vision Camera,,,sec_1lte_001,FALSE,20,TRUE,,
opt_ahe_001,AHE,,"Seat adjuster, driver power bolster",,,sec_2lte_001,FALSE,130,TRUE,,
opt_ahh_001,AHH,,"Seat adjuster, passenger power bolster",,,sec_2lte_001,FALSE,140,TRUE,,
opt_al9_001,AL9,,"Seat adjuster, power driver lumbar control",,,sec_2lte_001,FALSE,110,TRUE,,
opt_ap9_001,AP9,,"Cargo nets, 2",,,sec_2lte_001,FALSE,160,TRUE,,
opt_aqa_001,AQA,,"Memory Driver and Passenger Convenience Package, includes steering wheel and outside mirrors plus seat memory for both driver and passenger; key fob or door button activated",,,sec_2lte_001,FALSE,150,TRUE,,
opt_at9_001,AT9,,"Seat adjuster, power passenger lumbar control",,,sec_2lte_001,FALSE,120,TRUE,,
opt_dyx_001,DYX,,"Mirrors, outside heated, power-adjustable, power-folding, driver-side auto-dimming with turn signal indicators",,,sec_2lte_001,FALSE,170,TRUE,,
opt_k7b_001,K7B,,"Wireless Phone Charging, 2 wireless charging pads for phone or portable devices, located on center console and between seatbacks",,,sec_2lte_001,FALSE,60,TRUE,,
opt_ki3_001,KI3,,"Steering wheel, heated",,,sec_2lte_001,FALSE,80,TRUE,,
opt_kqv_001,KQV,,"Seats, heated and vented driver and passenger",,,sec_2lte_001,FALSE,100,TRUE,,
opt_ufg_001,UFG,,Rear Cross Traffic Alert,,,sec_2lte_001,FALSE,50,TRUE,,
opt_uft_001,UFT,,Side Blind Zone Alert,,,sec_2lte_001,FALSE,180,TRUE,,
opt_ug1_001,UG1,,"Universal Home Remote, includes garage door opener, 3-channel programmable, located on driver visor",,,sec_2lte_001,FALSE,70,TRUE,,
opt_uqh_001,UQH,,"Audio system feature, Bose Performance Series Sound System with 14 speakers",,,sec_2lte_001,FALSE,30,TRUE,,
opt_utj_001,UTJ,,"Theft-deterrent system, electrical, unauthorized entry, activates the horn",,,sec_2lte_001,FALSE,190,TRUE,,
opt_utu_001,UTU,,"Theft deterrent sensor, vehicle inclination",,,sec_2lte_001,FALSE,210,TRUE,,
opt_utv_001,UTV,,"Theft deterrent sensor, vehicle interior movement",,,sec_2lte_001,FALSE,200,TRUE,,
opt_uv6_001,UV6,,"Head-Up Display, color display with 3 modes: tour, sport, track; can display speed, gear, tachometer, paddle shift lights, turn signals, bright headlamps, turn-by-turn navigation, g-meter, speed limit",,,sec_2lte_001,FALSE,10,TRUE,,
opt_uva_001,UVA,,"HD Front and Rear Vision Cameras, front camera is curb view",,,sec_2lte_001,FALSE,40,TRUE,,
opt_iwe_001,IWE,,"Sueded Microfiber-Wrapped Upper Interior Trim Package, includes headliner, visors, trim above windshield and rear window, and A-pillar trim",,,sec_3lte_001,FALSE,20,TRUE,,
opt_167,,,"Custom Leather Wrapped Interior Package, features leather-wrapped upper instrument panel, door trim panels and console",,"When (HUB/HUC) Ultimate Suede Jet Black is ordered, the instrument panel, door trim panels and console will be suede.",sec_3lte_001,FALSE,10,TRUE,,
opt_eyk_001,EYK,395,Chrome Exterior Badge Package,,,sec_badg_001,TRUE,20,TRUE,,
opt_eyt_001,EYT,0,Carbon Flash Exterior Badge Package,,,sec_badg_001,TRUE,10,TRUE,default_selected,
opt_j6a_001,J6A,0,"Calipers, Black painted",,,sec_cali_001,TRUE,10,TRUE,default_selected,
opt_j6b_001,J6B,795,"Calipers, Blue-painted",,,sec_cali_001,TRUE,50,TRUE,,
opt_j6d_001,J6D,0,"Calipers, Dark Gray Metallic-painted",,Included and only available with (J57) carbon ceramic brakes.,sec_cali_001,TRUE,15,TRUE,,
opt_j6e_001,J6E,795,"Calipers, Velocity Yellow-painted",,,sec_cali_001,TRUE,30,TRUE,,
opt_j6f_001,J6F,795,"Calipers, Bright Red-painted",,,sec_cali_001,TRUE,20,TRUE,,
opt_j6l_001,J6L,795,"Calipers, Orange-painted",,Requires (J57) carbon ceramic brakes.,sec_cali_001,TRUE,70,TRUE,,
opt_j6n_001,J6N,795,"Calipers, Edge Red-painted",,,sec_cali_001,TRUE,40,TRUE,,
opt_d30_001,D30,1495,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat belt color combinations",,"To be used exclusively to override exterior, interior and seat belt color combinations. SOLD orders only. Color Combination Override is available at an additional charge.",sec_colo_001,TRUE,10,TRUE,auto_only,
opt_r6x_001,R6X,995,Custom Interior Trim and Seat Combination,,"SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",sec_colo_001,TRUE,20,TRUE,auto_only,
opt_bv4_001,BV4,395,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN",,Available on SOLD orders only. (CFX) Personalized plaque is already included in (R8C) Corvette Museum Delivery.,sec_cust_001,TRUE,30,TRUE,,
opt_pbc_001,PBC,9995,Customer Engine Build Program,,,sec_cust_001,TRUE,40,TRUE,,
opt_pin_001,PIN,5495,Customer VIN ending reservation,,This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.,sec_cust_001,TRUE,20,TRUE,,
opt_r8c_001,R8C,1695,"Corvette Museum Delivery, acknowledgement form required, includes (CFX) Corvette Museum logo plaque personalized with your name and VIN",,Must also add Ship To BAC 184590 (Dealer code 31-728). Available on SOLD orders only. Not available with LPO wheels.,sec_cust_001,TRUE,10,TRUE,,
opt_vk3_001,VK3,40,"License plate bracket, front",,Will be forced on orders with ship-to states that require a front license plate.,sec_cust_001,TRUE,50,TRUE,,
opt_36s_001,36S,495,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console",,"Requires (H1Y/HTM/HTP) Jet Black interior.
Requires (HTE/HTT/HUB/HUC) Jet Black interior.",sec_cust_002,TRUE,20,TRUE,,
opt_37s_001,37S,495,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console",,"Requires (H1Y/HTM/HTP) Jet Black interior.
Requires (HTE/HTT/HUB/HUC) Jet Black interior.",sec_cust_002,TRUE,30,TRUE,,
opt_38s_001,38S,495,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console",,"Requires (H1Y/HTM/HTP) Jet Black interior.
Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.",sec_cust_002,TRUE,10,TRUE,,
opt_b6p_001,B6P,1895,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",,,sec_engi_001,TRUE,1,TRUE,,
opt_bcw_001,BCW,995,"Engine intake, Red",,"Includes (D3V) engine lighting.
Requires (ZZ3) Convertible Engine Appearance Package.",sec_engi_001,TRUE,20,TRUE,,
opt_d3v_001,D3V,195,Engine lighting,,Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.,sec_engi_001,TRUE,10,TRUE,,
opt_rxi_001,RXI,2495,"LPO, LT6 engine cover in visible carbon fiber, Genuine Corvette Accessory",,,sec_engi_001,TRUE,,TRUE,,
opt_sl9_001,SL9,125,"LPO, Engine specification plaque, Genuine Corvette Accessory",,Included with (B6P/ZZ3) Engine Appearance Package.,sec_engi_001,TRUE,11,TRUE,,
opt_slk_001,SLK,1995,"LPO, Rear hatch strut bracket, Edge Red, Genuine Corvette Accessory",,,sec_engi_001,TRUE,50,TRUE,,
opt_sln_001,SLN,2895,"LPO, Visible carbon fiber engine cross brace with Jake logo, Genuine Corvette Accessory",,"Not available with (RXI) LT6 engine cover in visible carbon fiber, LPO.",sec_engi_001,TRUE,60,TRUE,,
opt_vup_001,VUP,575,"LPO, Engine Bay closeout graphics, Genuine Corvette Accessory",,,sec_engi_001,TRUE,70,TRUE,,
opt_zz3_001,ZZ3,1195,"Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO",,,sec_engi_001,TRUE,5,TRUE,,
opt_nga_001,NGA,0,"Exhaust tips, Black",,,sec_exha_001,TRUE,10,TRUE,,
opt_nwi_001,NWI,395,"NEW!Exhaust tips, bright, center, quad, exposed",,,sec_exha_001,TRUE,30,TRUE,,
opt_edu_001,EDU,995,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",,"Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered.
Tonneau grille is Carbon Flash-painted. Front splitter is not body-color when (CFV/CFZ) ground effects is also ordered.",sec_exte_001,TRUE,20,TRUE,,
opt_efr_001,EFR,0,"Exterior accents, Carbon Flash, side vents, rockers, splitter and front/rear grille accents",,"Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.
Also includes tonneau grille. Rockers and splitters are not Carbon Flash when (CFV) visible carbon fiber ground effects is also ordered.",sec_exte_001,FALSE,10,TRUE,default_selected,
opt_efy_001,EFY,995,"Exterior accents, body-color, side vents, rockers, splitter and front/rear grille accents",,"Not available with exterior color (GBA) Black. Rockers are not body-color when (CFZ/CFV) ground effects is also ordered.
Not available with exterior color (GBA) Black. Also includes tonneau grille. Rockers are not body-color when (CFZ/CFV) ground effects is also ordered.",sec_exte_001,TRUE,21,TRUE,,
opt_zyc_001,ZYC,295,"Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped), includes (DRG) Carbon Flash Metallic-painted outside mirrors",,Not available with exterior color (GBA) Black.,sec_exte_001,TRUE,30,TRUE,,
opt_cfx_001,CFX,,"Plaque, personalized with Corvette Museum logo, your name and VIN",,Included and only available with (R8C) Corvette Museum Delivery.,sec_incl_001,FALSE,30,TRUE,,
opt_drg_001,DRG,,"Mirrors, outside, Carbon Flash Metallic-painted",,"Included and only available with (ZYC) Carbon Flash Metallic-painted outside mirrors and spoiler (when equipped) or (5JR) outside mirror covers in visible Carbon Fiber, LPO.",sec_incl_001,FALSE,10,TRUE,,
opt_r8e_002,R8E,,"Gas guzzler tax, mandatory federal tax added to price of vehicle",,,sec_incl_001,FALSE,5,TRUE,,
opt_tr7_001,TR7,,"Headlamp control, automatic leveling system",,Included and only available with (E60) front lift adjustable height.,sec_incl_001,FALSE,20,TRUE,,
opt_xfr_001,XFR,,"Tires, 275/30ZR20 front and 345/25ZR21 rear, blackwall, high performance",,,sec_incl_001,FALSE,60,TRUE,,
opt_xfs_001,XFS,,"Tires, 275/30ZR20 front and 345/25ZR21 rear, blackwall, Michelin Pilot Sport Cup 2 R ultra performance",,Included and only available with (Z07) Z07 Performance Package.,sec_incl_001,FALSE,70,TRUE,,
opt_baz_001,BAZ,695,"Stealth Interior Trim Package, dark finish aluminum trim",,,sec_inte_001,TRUE,20,TRUE,,
opt_dy0_002,DY0,795,"Display hood, Carbon Fiber, located above the Driver Information Center display",,,sec_inte_001,TRUE,50,TRUE,,
opt_fa5_001,FA5,1795,"Trim, interior, carbon fiber cluster-surround and console/door switch plates",,,sec_inte_001,TRUE,30,TRUE,,
opt_fa6_001,FA6,5295,"Trim, interior, level 2, carbon fiber instrument panel trim, cluster-surround and console/door inserts",,Not available with (FA5) carbon fiber interior trim.,sec_inte_001,TRUE,40,TRUE,,
opt_n26_001,N26,695,"Steering wheel, sueded microfiber-wrapped",,"Requires (HTJ) Jet Black interior.
Requires leather seating surfaces with perforated sueded microfiber inserts interior: HTP, HU6, HU7, HTQ.",sec_inte_001,TRUE,60,TRUE,,
opt_n2z_001,N2Z,895,"Steering wheel, carbon fiber and sueded microfiber-wrapped",,"Requires leather seating surfaces with perforated sueded microfiber inserts interiors: HTT, HU9, HUA, HTG, HUF, HMO, HVT, HXO, HZP, HUX, EPX, HUB.",sec_inte_001,TRUE,70,TRUE,,
opt_n3w_002,N3W,0,"Steering wheel, carbon fiber and leather-wrapped",,,sec_inte_001,FALSE,5,TRUE,,
opt_tu7_001,TU7,595,"Seats, two-tone",,"Requires (AH2) GT2 seats. Available with (HUK/HU6) Sky Cool Gray, (HUL/HU7) Adrenaline Red, (HTN/HTQ) Natural interiors.
Requires (AH2) GT2 seats. Available with (HU1/HU9) Sky Cool Gray, (HU2/HUA) Adrenaline Red, (HUE/HTG) Natural, (HMO/HVV) Jet Black/Sky Cool Gray, (HU0/HXO) Jet Black/Adrenaline Red interiors.",sec_inte_001,TRUE,80,TRUE,,
opt_uqt_001,UQT,1495,Performance data and video recorder,,,sec_inte_001,TRUE,10,TRUE,,
opt_5jr_001,5JR,1395,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",,,sec_lpoe_001,TRUE,60,TRUE,,
opt_pcq_001,PCQ,1675,"LPO, Grille Screen Protection Package, includes (VWE) front radiator grille screens LPO and (VWT) insect protection grille screen LPO, Genuine Corvette Accessories",,,sec_lpoe_001,TRUE,45,TRUE,,
opt_pcz_001,PCZ,5295,"LPO, Tech Bronze Accent Package, includes (5DK) 20"" front/21"" rear Spider design, Tech Bronze forged aluminum wheels LPO, (SFZ) Dark Stealth crossed flags emblem LPO, (SHT) Jake hood graphic with Tech Bronze accent LPO and (VPO) Jake C8.R rear hash graphic with Tech Bronze accent LPO , Genuine Corvette Accessories",,"Not available with R8C, SPZ, SFE, SPY, S47, ROY, ROZ, STZ, EYK, PDA, SNE or RPO stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW, DZU, DZV, DZX).",sec_lpoe_001,TRUE,100,TRUE,,
opt_r88_001,R88,695,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory",,"Not available with (SFZ) Dark Stealth crossed flags emblems, LPO, (EYK) Chrome Exterior Badge Package or any Full Length Dual Racing Stripes (DPB, DPC, DPG, DPL, DPT, DSY, DSZ, DT0, DTB, DTH, DUB, DUE, DUK, DUW).",sec_lpoe_001,TRUE,21,TRUE,,
