source_sheet,source_row,model_key,source_field,raw_text,phrase_type,extracted_rpos,confidence,review_status,notes
Price Schedule,73,corvette,row,J6L Orange Painted Brake Calipers Requires J57 795 0 795 723.45 699.6 0,requires,699|723|795|J57|J6L,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,168,corvette,row,NWI Bright Exhaust Tips Requires (WUB) center quad exhaust system 395 0 395 359.45 347.6 0,requires,347|359|395|NWI|WUB,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,172,corvette,row,"BC4 LS6 engine cover, Blue Convertible requires ZZ3; Coupes with B6P 595 0 595 541.45 523.6 0",requires,523|541|595|B6P|BC4|LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,174,corvette,row,"BCP LS6 engine cover, Edge Red Convertible requires ZZ3; Coupes with B6P 595 0 595 541.45 523.6 0",requires,523|541|595|B6P|BCP|LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,176,corvette,row,"BCS LS6 engine cover, Sterling Silver-painted Convertible requires ZZ3; Coupes with B6P 595 0 595 541.45 523.6 0",requires,523|541|595|B6P|BCS|LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,180,corvette,row,"CBF Rockers and splitter, body-color Z06 Only, Not Available with CFV/CFZ or GBA 495 0 495 450.45 435.6 0",not_available_with,435|450|495|CBF|CFV|CFZ|GBA|Z06,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,199,corvette,row,36S Yellow Custom Leather Stitch Requires Jet Black Interior 495 0 495 450.45 435.6 0,requires,36S|435|450|495,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,201,corvette,row,37S Custom Blue Leather Stitching requires Jet Black Interior 495 0 495 450.45 435.6 0,requires,37S|435|450|495,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,202,corvette,row,38S Adrenaline Red Custom Leather Stitch requires Jet Black or Adrenaline Red/Jack Black Interior 495 0 495 450.45 435.6 0,requires,38S|435|450|495,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,223,corvette,row,Z07 Z06 Ultimate Performance Package Requires T0F or T0G 9500 0 9500 8645 8360 0,requires,T0F|T0G|Z06|Z07,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,227,corvette,row,ZTK Track Performance Package ZR1X only; requires TOM 1500 0 1500 1365 1320 0,requires,TOM|ZTK,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,228,corvette,row,ZTK ZTK Performance Package ZR1 only; requires TOM; Includes J59 Ceramic Brakes 5995 0 5995 5455.45 5275.6 0,requires,J59|TOM|ZR1|ZTK,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,238,corvette,row,"AUP Seats, mixed, driver Competition Sport Bucket, passenger GT2 Bucket Requires HVZ; Asymmetrical Adrenaline Red/Jet Black Interior 350 0 350 318.5 308 0",requires,308|318|350|AUP|GT2|HVZ,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,240,corvette,row,DMU Carbon Flash Grand Sport Heritage Center Stripe Grand Sport/Grand Sport X; requires Z15 1295 0 1295 1178.45 1139.6 0,requires,DMU|Z15,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,241,corvette,row,DMV Blade Silver Grand Sport Heritage Center Stripe Grand Sport/Grand Sport X; requires Z15 1295 0 1295 1178.45 1139.6 0,requires,DMV|Z15,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,242,corvette,row,DMW Arctic White Grand Sport Heritage Center Stripe Grand Sport/Grand Sport X; requires Z15 1295 0 1295 1178.45 1139.6 0,requires,DMW|Z15,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,243,corvette,row,DMX Admiral Blue Grand Sport Heritage Center Stripe Grand Sport/Grand Sport X; requires Z15 1295 0 1295 1178.45 1139.6 0,requires,DMX|Z15,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,244,corvette,row,DMY Red Mist Grand Sport Heritage Center Stripe Grand Sport/Grand Sport X; requires Z15 1295 0 1295 1178.45 1139.6 0,requires,DMY|Z15,high,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,262,corvette,row,Z15 Grand Sport Heritage Graphics Grand Sport/Grand Sport X; choice of one of the following 17A/20A/55A/75A/97A/DX4 995 0 995 905.45 875.6 0,choice_of,17A|20A|55A|75A|875|905|97A|995|DX4|Z15,medium,needs_review,Staging candidate only; no canonical rule generated.
Price Schedule,265,corvette,row,FE4 Z51 Performance Suspension with Magnetic Ride Control Stingray; Requires Z51 1895 0 1895 1724.45 1667.6 0,requires,FE4|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,25,corvette,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,62,corvette,description,"Cooling system, heavy-duty
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,65,corvette,description,"LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",only_available_with,LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,67,corvette,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",included_with,B6P|BC4|BCP|BCS|LS6,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,73,corvette,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,75,corvette,description,"Performance Traction Management
1. Included and only available with (FE4) Z51 performance suspension with Magnetic Selective Ride Control.",only_available_with,FE4|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,76,corvette,description,"Rear axle, 5.56 ratio
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,82,corvette,description,"NEW!  Transmission, 8-speed dual clutch, includes manual and auto modes
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,NEW|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,25,corvette,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,57,corvette,description,"Brakes, 4-wheel antilock, 4-wheel disc, performance 6-piston front and 4-piston rear
1. Included and only available with (FEB) Z52 Sport Performance Package.",only_available_with,FEB|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,65,corvette,description,"Calipers, Dark Gray Metallic-painted
1. Included and only available with (J57) carbon ceramic brakes.",only_available_with,J57,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,68,corvette,description,"LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",only_available_with,LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,69,corvette,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",included_with,B6P|BC4|BCP|BCS|LS6,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,72,corvette,description,"NEW!  Exhaust, quad center exit
1. Included with (FEY) Z52 Track Performance Package.",included_with,FEY|NEW|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,73,corvette,description,"Tires, 275/30ZR20 front and 345/25ZR21 rear, blackwall, high performance
1. Included and only available with (FEB) Z52 Sport Performance Package.",only_available_with,275|345|FEB|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,76,corvette,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,26,corvette,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,52,corvette,description,"Ground effects, visible carbon fiber
1. Included with (T0G) Visible Carbon Fiber Aero Package.",included_with,T0G,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,66,corvette,description,"Calipers, Dark Gray Metallic-painted
1. Included and only available with (J57) carbon ceramic brakes.",only_available_with,J57,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,69,corvette,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.",included_with,B6P|BCW,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 3,76,corvette,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,26,corvette,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,59,corvette,description,"Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, 10-piston front, 6-piston rear
1. Included and only available with (ZTK) ZTK Performance Package.",only_available_with,ZTK,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 4,77,corvette,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,29,corvette,description,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",requires,635|866|FGO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,29,corvette,description,"3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.",not_available_with,635|866|FGO,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,31,corvette,description,"Custom Interior Trim and Seat Combination
1. SOLD orders only. Requires (HMO/HVV) Jet Black/Sky Cool Gray, (HZB/HVT) Sky Cool Gray/Jet Black, (HU0/HXO) Jet Black/Adrenaline Red, (HUU/HZP) Adrenaline Red/Jet Black interiors. See Custom Interior Trim and Seat Combinations color and trim chart.",requires,HMO|HU0|HUU|HVT|HVV|HXO|HZB|HZP,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,36,corvette,description,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",included_with,LPO|PEF,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,37,corvette,description,"LPO, All-weather floor liners with Jake logo, Genuine Corvette Accessory
1. Included with (PEF) Contoured Liner Protection Package, LPO.",included_with,LPO|PEF,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,38,corvette,description,"LPO, First Aid Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",included_with,LPO|PDY,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,43,corvette,description,"LPO, Highway Safety Kit, Genuine Corvette Accessory
1. Included with (PDY) Roadside Safety Package.",included_with,LPO|PDY,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,45,corvette,description,"LPO, Roof panel storage pouch, Genuine Corvette Accessory
1. Included with (SBT) dual roof, LPO.",included_with,LPO|SBT,high,needs_review,Staging candidate only; no canonical rule generated.
Equipment Groups 1,47,corvette,description,"Mobile Service Plus. MobileService+ is a suite of service conveniences for 1 year - Mobile Service, Pick-up & Delivery, and Loaner with Drop off. MobileService+ van will come to your home to perform select services or pick up your vehicle and return it once the service is completed at the dealership. Cost of part and labor are not included
1. Required and only available for dealers who have a BFU of 284, except for orders with (R9W) Deleted Mobile Service Plus. Requires TRE, SRE, FBC, FNR or Fleet order types. Not available with (R9V) Mobile Service Plus for 3 years.",requires,284|BFU|FBC|FNR|R9V|R9W|SRE|TRE,high,needs_review,Staging candidate only; no canonical rule generated.
