relationship_key,relationship_type,legacy_surface,legacy_id,source_id,source_label,target_id,target_label,coverage_status,coverage_confidence,coverage_note,triage_reason,triage_confidence,suggested_next_step,schema_file_candidate,mapper_candidate,evidence_detail,notes
legacy_rel_0001,includes,rules,rule_3lt_ae4_h8t_includes_opt_3a9_001,3LT_AE4_H8T,3LT > AE4 Competition Seats > Santorini Blue > Santorini Blue,opt_3a9_001,Santorini Blue Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_H8T from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0002,includes,rules,rule_3lt_ae4_hag_includes_opt_3a9_001,3LT_AE4_HAG,3LT > AE4 Competition Seats > Asymmetrical Santorini Blue / Jet Black > Asymmetrical Santorini Blue / Jet Black,opt_3a9_001,Santorini Blue Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HAG from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0003,includes,rules,rule_3lt_ae4_hnk_includes_opt_3f9_001,3LT_AE4_HNK,3LT > AE4 Competition Seats > Adrenaline Red Dipped > Adrenaline Red Dipped,opt_3f9_001,Torch Red Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HNK from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0004,includes,rules,rule_3lt_ae4_huf_n26_includes_opt_3n9_001,3LT_AE4_HUF_N26,3LT > AE4 Competition Seats > Natural Dipped > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Natural Dipped Suede,opt_3n9_001,Natural Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HUF_N26 from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0005,includes,rules,rule_3lt_ae4_huw_includes_opt_379_001,3LT_AE4_HUW,3LT > AE4 Competition Seats > Habanero > Napa leather seating surfaces with perforated inserts. > Habanero,opt_379_001,Orange Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HUW from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0006,includes,rules,rule_3lt_ae4_hux_n26_includes_opt_379_001,3LT_AE4_HUX_N26,3LT > AE4 Competition Seats > Habanero > Sueded microfiber seat inserts and sueded microfiber wrapped steering wheel. > Habanero Suede,opt_379_001,Orange Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HUX_N26 from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0007,includes,rules,rule_3lt_ae4_hzn_includes_opt_3n9_001,3LT_AE4_HZN,3LT > AE4 Competition Seats > Natural Dipped > Napa leather seating surfaces with perforated inserts. > Natural Dipped,opt_3n9_001,Natural Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AE4_HZN from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0008,includes,rules,rule_3lt_ah2_h8t_includes_opt_3a9_001,3LT_AH2_H8T,3LT > AH2 GT2 Bucket Seats > Santorini Blue > Santorini Blue,opt_3a9_001,Santorini Blue Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_H8T from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0009,includes,rules,rule_3lt_ah2_hag_includes_opt_3a9_001,3LT_AH2_HAG,3LT > AH2 GT2 Bucket Seats > Asymmetrical Santorini Blue / Jet Black > Asymmetrical Santorini Blue / Jet Black,opt_3a9_001,Santorini Blue Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HAG from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
legacy_rel_0010,includes,rules,rule_3lt_ah2_hnk_includes_opt_3f9_001,3LT_AH2_HNK,3LT > AH2 GT2 Bucket Seats > Adrenaline Red Dipped > Adrenaline Red Dipped,opt_3f9_001,Torch Red Seat belt color,needs_schema_mapping,schema_gap,Legacy source is not a selectable option ID; current auto-add CSV shape does not cleanly represent this source namespace.,interior_or_non_option_namespace,high,add_interior_namespace_mapping,data/stingray/logic/auto_adds.csv,auto-add interior source namespace mapper,"Source/target includes 3LT_AH2_HNK from interior namespace, not opt_* selectable namespace.",Current CSV mapper does not cleanly express this legacy source namespace.
