triage_id,conflict_bucket,original_conflict_type,proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,proposal_value,canonical_value,recommended_action,readiness_impact,triage_status,notes
conflict_00001,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,"LPO, Black Ground Effects. Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00002,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,"LPO, Black Ground Effects. Genuine Corvette Accessory","LPO, Black Ground Effects",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00003,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00004,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",LPO Jake logo wheel center caps,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00005,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",Genuine Corvette Accessory,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00006,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",LPO Carbon Flash wheel center caps with crossed flags logo,review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00007,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","Body-color, G8G, GBA, GKZ only. Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00008,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","LPO, High wing spoiler, Body color",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00009,label_and_description_conflict,description_mismatch,prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","Carbon Flash Metallic-painted, Genuine Corvette Accessory",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00010,label_and_description_conflict,label_mismatch,prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, High wing spoiler",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
conflict_00011,label_and_description_conflict,description_mismatch,prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents","Body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",review_label_and_description_update,review_required,review_required,Original conflict_type is preserved; triage does not resolve conflicts.
