model_key,option_sheet,option_row,option_id,rpo,option_name,current_price,matched_future_model_source_review_rows,candidate_price,parsed_candidate_prices,price_candidate_rows,price_candidate_summary,approved_price,classification,recommended_workbook_action,notes
z06,z06_options,2,opt_b6p_001,B6P,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",,312,1895,1895,171,row 171: 1895,,direct_price_candidate,write_options_price,"1895 | row 171: 1895 | 171 | Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO"
z06,z06_options,3,opt_pdy_001,PDY,"LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory",,108,195,195,109,row 109: 195 Includes First Aid Kit and Highway Safety Kit,,direct_price_candidate,write_options_price,"195 | row 109: 195 Includes First Aid Kit and Highway Safety Kit | 109 | LPO, Roadside Safety Package, includes (RYT) First Aid Kit, LPO and (S08) Highway Safety Kit, LPO, Genuine Corvette Accessory"
z06,z06_options,4,opt_zz3_001,ZZ3,"Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO",,66;313,1195; 1195,1195,193 || 193,row 193: 1195 || row 193: 1195,,direct_price_candidate,write_options_price,"1195 | row 193: 1195 | 193 | Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO | 1195 | row 193: 1195 | 193 | Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO"
z06,z06_options,5,opt_ryt_001,RYT,"LPO, First Aid Kit, Genuine Corvette Accessory",,113,60,60,122,row 122: 60,,direct_price_candidate,write_options_price,"60 | row 122: 60 | 122 | LPO, First Aid Kit, Genuine Corvette Accessory | Included with (PDY) Roadside Safety Package. | Included with (PDY) Roadside Safety Package."
z06,z06_options,6,opt_s08_001,S08,"LPO, Highway Safety Kit, Genuine Corvette Accessory",,118,150,150,124,row 124: 150,,direct_price_candidate,write_options_price,"150 | row 124: 150 | 124 | LPO, Highway Safety Kit, Genuine Corvette Accessory | Included with (PDY) Roadside Safety Package. | Included with (PDY) Roadside Safety Package."
z06,z06_options,7,opt_719_001,719,"Seat belt color, Black",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,8,opt_aj7_001,AJ7,"Airbags, frontal and side-impact, driver and passenger with Passenger Sensing System",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,9,opt_aq9_001,AQ9,"Seats, GT1 bucket",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,10,opt_cf7_001,CF7,"Roof panel, body-color, removable",,,,,,,,missing_price_evidence,needs_human_review,
z06,z06_options,11,opt_cj2_001,CJ2,"Air conditioning, dual-zone automatic climate control, individual climate settings for driver and passenger, with outside temperature display",,,,,,,,missing_price_evidence,needs_human_review,
