source_file,source_field,source_values,target_table,target_field,alignment_status,transformation_needed,schema_context_confidence,notes
ui/selectable_display.csv,proposal_selectable_id,prop_grand_sport_exterior_17a|prop_grand_sport_exterior_20a|prop_grand_sport_exterior_55a|prop_grand_sport_exterior_5jr|prop_grand_sport_exterior_5zb|prop_grand_sport_exterior_5zc|prop_grand_sport_exterior_5zd|prop_grand_sport_exterior_5zv|prop_grand_sport_exterior_75a|prop_grand_sport_exterior_97a|prop_grand_sport_exterior_c2z|prop_grand_sport_exterior_cc3|...(+645),data/stingray/ui/selectable_display.csv,selectable_id,transform_required,yes,partial,Depends on future canonical selectable_id policy.
ui/selectable_display.csv,proposal_status,proposal_only,data/stingray/ui/selectable_display.csv,,excluded_from_first_apply,no,partial,Proposal-only metadata.
ui/selectable_display.csv,model_key,grand_sport|stingray|z06|zr1|zr1x,data/stingray/ui/selectable_display.csv,,review_required,yes,partial,UI display may need model/variant scoping outside this table.
ui/selectable_display.csv,section_family,exterior|interior|mechanical|standard_equipment,data/stingray/ui/selectable_display.csv,section_id,transform_required,yes,partial,section_family is too broad to be a final section_id.
ui/selectable_display.csv,section_name,Exterior|Interior|Mechanical|Standard Equipment,data/stingray/ui/selectable_display.csv,section_name,direct_map,no,partial,"Section name is display evidence, subject to UI taxonomy review."
ui/selectable_display.csv,category_name,Exterior|Interior|Mechanical|Standard Equipment,data/stingray/ui/selectable_display.csv,category_name,direct_map,no,partial,Category name can map only after category_id policy is settled.
ui/selectable_display.csv,display_label,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.|3 Years SiriusXM|Admiral Blue Grand Sport Heritage Center Stripe|Admiral Blue Grand Sport Heritage Hash Marks|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package|Arctic White Grand Sport Heritage Center Stripe|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes|Battery Protection Package|Blade Silver Grand Sport Heritage Center Stripe|Blade Silver Grand Sport Heritage Hash Marks|Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers|...(+211)",data/stingray/ui/selectable_display.csv,label,direct_map,no,partial,Display label maps cleanly after selectable_id transform.
ui/selectable_display.csv,display_description,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.|3 Years SiriusXM|Admiral Blue Grand Sport Heritage Center Stripe|Admiral Blue Grand Sport Heritage Hash Marks|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package|Arctic White Grand Sport Heritage Center Stripe|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes|Battery Protection Package|Blade Silver Grand Sport Heritage Center Stripe|Blade Silver Grand Sport Heritage Hash Marks|Brakes, 4-wheel antilock, 4-wheel disc, carbon ceramic, includes (J6D) Dark Gray Metallic-painted calipers|...(+211)",data/stingray/ui/selectable_display.csv,description,direct_map,no,partial,Display description maps cleanly after selectable_id transform.
ui/selectable_display.csv,source_description_raw,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.|3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.|Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.|Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.|Battery Protection Package|Battery Protection Package
1. 12-volt battery.|Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|...(+252)",data/stingray/ui/selectable_display.csv,source_detail_raw,review_required,yes,partial,Raw source text should remain evidence unless explicitly promoted.
ui/selectable_display.csv,source_detail_raw,"3 Years OnStar One (Standalone) Elevate your everyday drives with OnStar One. Have peace of mind with 24/7 access to Emergency Advisors and Stolen Vehicle Assistance. Plus, stay connected and entertained with an in-vehicle Wi-Fi hotspot and on eligible vehicles get access to expanded in-vehicle apps, including internet browser, games and video streaming.
1. Requires (UE1) OnStar and a Retail order type. Not available on vehicles being shipped to Puerto Rico, the Virgin Islands, or Guam. OnStar plan, working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Not all vehicles may transmit all crash data. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations.|3 Years SiriusXM
1. Requires SiriusXM. Not available with a FGO order type. SiriusXM Extended Service subscription will stop at the end of the applicable subscription period unless you decide to continue service. Plan is non-transferable and non-refundable. Service subject to the SiriusXM Customer Agreement and Privacy Policy, visit siriusxm.com/terms to see complete terms and how to cancel which includes online methods or calling 1-866-635-2349. Some services, content and features are subject to device capabilities, an active data connection enabled in the vehicle and location availability. All fees, content and features are subject to change. Content varies by subscription plan. SiriusXM and related logos are trademarks of Sirius XM Radio Inc. and its respective subsidiaries.|Admiral Blue Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GTR) Admiral Blue Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Admiral Blue Grand Sport Heritage Hash Marks
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GTR) Admiral Blue Metallic.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (H1Y/HTM/HTP) Jet Black interior.
2. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console
1. Requires (HTE/HTT/HUB/HUC) Jet Black interior or (HU0/HXO) Adrenaline Red/Jet Black interior.|Aero delete, removes (T0A) Z51 rear spoiler and front splitter from Z51 Performance Package
1. Requires (Z51) Z51 Performance Package. Not available with 5ZU, 5ZW, 5ZZ, 5VM, 5W8.|Arctic White Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (G8G) Arctic White. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK. Not available with exterior color (G8G) Arctic White. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|Asymmetrical Edge Red/Carbon Flash Full Length Dual Racing Stripes
1. Not available with exterior color (GKZ) Torch Red or (GPH) Red Mist Metallic Tintcoat.|Battery Protection Package|Battery Protection Package
1. 12-volt battery.|Blade Silver Grand Sport Heritage Center Stripe
1. Requires (Z15) Grand Sport Heritage Graphics. Not available with exterior color (GKA) Blade Silver Metallic. 
2. Requires (Z15) Grand Sport Heritage Graphics. Requires (D84) Carbon Flash painted nacelles and roof when the following exterior colors are ordered: G26/G4Z/GBK/GKZ/GPH. Not available with exterior color (GKA) Blade Silver Metallic. Note: When (D84) Carbon Flash painted nacelles and roof is ordered (required or selected) roof will not include the stripe.|...(+252)",data/stingray/ui/selectable_display.csv,source_detail_raw,review_required,yes,partial,Raw source detail is traceability/display evidence.
