rpo,review_status,classification,canonical_handling,recommended_action,notes
AH2,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
B6P,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
C2Z,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
CFV,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
D3V,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
DY0,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
SL9,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
UQT,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
WUB,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
ZZ3,needs_review,canonical_review_required,needs_manual_mapping,review_orderable_vs_reference_usage_before_proposal,"Observed as both orderable and ref-only staging evidence; review before canonical proposal work."
