relationship_key,source_id,source_label,target_id,target_label,normalized_pair_key,original_bucket,proposed_schema_target,proposed_rule_id,directionality,runtime_action,message,scope_condition_set_id,legacy_rule_id,compiler_support_required,confidence,notes
legacy_rel_0016,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_r8c_001,Corvette Museum Delivery,opt_5dg_001<->opt_r8c_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5dg_r8c,directional,active,Conflicts with R8C.,,rule_opt_5dg_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0017,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",opt_5dg_001<->opt_s47_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5dg_s47,directional,active,Conflicts with S47.,,rule_opt_5dg_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0018,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",opt_5dg_001<->opt_sfe_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5dg_sfe,directional,active,Conflicts with SFE.,,rule_opt_5dg_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0019,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spy_001,"LPO, Black lug nuts",opt_5dg_001<->opt_spy_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5dg_spy,directional,active,Conflicts with SPY.,,rule_opt_5dg_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0020,opt_5dg_001,"LPO, 20-spoke Tech Bronze aluminum wheels",opt_spz_001,"LPO, Black wheel locks",opt_5dg_001<->opt_spz_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5dg_spz,directional,active,Conflicts with SPZ.,,rule_opt_5dg_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0021,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_r8c_001,Corvette Museum Delivery,opt_5do_001<->opt_r8c_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5do_r8c,directional,active,Conflicts with R8C.,,rule_opt_5do_001_excludes_opt_r8c_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0022,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_s47_001,"LPO, Chrome lug nuts",opt_5do_001<->opt_s47_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5do_s47,directional,active,Conflicts with S47.,,rule_opt_5do_001_excludes_opt_s47_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0023,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_sfe_001,"LPO, Chrome wheel locks",opt_5do_001<->opt_sfe_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5do_sfe,directional,active,Conflicts with SFE.,,rule_opt_5do_001_excludes_opt_sfe_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0024,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spy_001,"LPO, Black lug nuts",opt_5do_001<->opt_spy_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5do_spy,directional,active,Conflicts with SPY.,,rule_opt_5do_001_excludes_opt_spy_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
legacy_rel_0025,opt_5do_001,"LPO, 15-spoke bright polished aluminum wheels",opt_spz_001,"LPO, Black wheel locks",opt_5do_001<->opt_spz_001,true_pairwise_conflict,dependency_rules_excludes,dep_excl_5do_spz,directional,active,Conflicts with SPZ.,,rule_opt_5do_001_excludes_opt_spz_001,dependency_rules_excludes_emit_legacy_rule,medium,Dry-run canonical row only. Requires compiler support before any migration.
