proposal_selectable_id,model_key,section_family,orderable_rpo,proposal_label,description,display_label,review_status,proposal_filter_status,availability_row_count,variant_count,available_count,standard_count,not_available_count,source_ref_count,source_sheets,source_rows_sample,notes
prop_grand_sport_exterior_17a,grand_sport,exterior,17A,Blade Silver Grand Sport Heritage Hash Marks,Blade Silver Grand Sport Heritage Hash Marks,Blade Silver Grand Sport Heritage Hash Marks,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,76,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_20a,grand_sport,exterior,20A,Admiral Blue Grand Sport Heritage Hash Marks,Admiral Blue Grand Sport Heritage Hash Marks,Admiral Blue Grand Sport Heritage Hash Marks,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,72,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_55a,grand_sport,exterior,55A,Competition Yellow Grand Sport Heritage Hash Marks,Competition Yellow Grand Sport Heritage Hash Marks,Competition Yellow Grand Sport Heritage Hash Marks,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,77,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_5jr,grand_sport,exterior,5JR,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",proposal_only,confident_subset,6,6,2,0,4,6,Exterior 2,38,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_5zb,grand_sport,exterior,5ZB,"LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory","LPO, Grand Sport logo wheel center caps, Genuine Corvette Accessory",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,50,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_5zc,grand_sport,exterior,5ZC,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory","LPO, Jake logo wheel center caps. Genuine Corvette Accessory",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,49,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_5zd,grand_sport,exterior,5ZD,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory","LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,48,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_5zv,grand_sport,exterior,5ZV,"LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, Three-Stanchion high wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,44,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_75a,grand_sport,exterior,75A,Torch Red Grand Sport Heritage Hash Marks,Torch Red Grand Sport Heritage Hash Marks,Torch Red Grand Sport Heritage Hash Marks,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,75,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_97a,grand_sport,exterior,97A,Carbon Flash Grand Sport Heritage Hash Marks,Carbon Flash Grand Sport Heritage Hash Marks,Carbon Flash Grand Sport Heritage Hash Marks,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,73,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_c2z,grand_sport,exterior,C2Z,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable",proposal_only,confident_subset,6,6,3,0,3,6,Exterior 2,61,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_cc3,grand_sport,exterior,CC3,"Roof panel, transparent, removable","Roof panel, transparent, removable","Roof panel, transparent, removable",proposal_only,confident_subset,6,6,3,0,3,6,Exterior 2,60,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_cf8,grand_sport,exterior,CF8,"Roof panel, electrochromic dimming, removable","Roof panel, electrochromic dimming, removable","Roof panel, electrochromic dimming, removable",proposal_only,confident_subset,6,6,2,0,4,6,Exterior 2,62,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_cfl,grand_sport,exterior,CFL,"NEW!  Ground effects, extended front splitter","NEW!  Ground effects, extended front splitter","NEW!  Ground effects, extended front splitter",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,22,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_cfv,grand_sport,exterior,CFV,"Ground effects, visible carbon fiber","Ground effects, visible carbon fiber","Ground effects, visible carbon fiber",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,21,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_cfz,grand_sport,exterior,CFZ,"Ground effects, carbon fiber, Carbon Flash-painted","Ground effects, carbon fiber, Carbon Flash-painted","Ground effects, carbon fiber, Carbon Flash-painted",proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,20,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_d84,grand_sport,exterior,D84,"Convertible top, Carbon Flash-painted nacelles and roof","Convertible top, Carbon Flash-painted nacelles and roof","Convertible top, Carbon Flash-painted nacelles and roof",proposal_only,confident_subset,6,6,3,0,3,6,Exterior 2,11,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_d86,grand_sport,exterior,D86,"Convertible top, Carbon Flash-painted nacelles and body-color roof","Convertible top, Carbon Flash-painted nacelles and body-color roof","Convertible top, Carbon Flash-painted nacelles and body-color roof",proposal_only,confident_subset,6,6,3,0,3,6,Exterior 2,12,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dmu,grand_sport,exterior,DMU,Carbon Flash Grand Sport Heritage Center Stripe,Carbon Flash Grand Sport Heritage Center Stripe,Carbon Flash Grand Sport Heritage Center Stripe,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,68,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dmv,grand_sport,exterior,DMV,Blade Silver Grand Sport Heritage Center Stripe,Blade Silver Grand Sport Heritage Center Stripe,Blade Silver Grand Sport Heritage Center Stripe,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,70,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dmw,grand_sport,exterior,DMW,Arctic White Grand Sport Heritage Center Stripe,Arctic White Grand Sport Heritage Center Stripe,Arctic White Grand Sport Heritage Center Stripe,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,71,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dmx,grand_sport,exterior,DMX,Admiral Blue Grand Sport Heritage Center Stripe,Admiral Blue Grand Sport Heritage Center Stripe,Admiral Blue Grand Sport Heritage Center Stripe,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,67,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dmy,grand_sport,exterior,DMY,Red Mist Grand Sport Heritage Center Stripe,Red Mist Grand Sport Heritage Center Stripe,Red Mist Grand Sport Heritage Center Stripe,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,69,Generated review evidence only; proposal_selectable_id is not final canonical truth.
prop_grand_sport_exterior_dpb,grand_sport,exterior,DPB,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Carbon Flash with Blue accent Full Length Dual Racing Stripes,Carbon Flash with Blue accent Full Length Dual Racing Stripes,proposal_only,confident_subset,6,6,6,0,0,6,Exterior 2,80,Generated review evidence only; proposal_selectable_id is not final canonical truth.
