proposal_selectable_id,model_key,orderable_rpo,canonical_selectable_id,conflict_type,proposal_value,canonical_value,recommended_action
prop_stingray_exterior_5v7,stingray,5V7,opt_5v7_001,description_mismatch,"LPO, Black Ground Effects. Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_5zc,stingray,5ZC,opt_5zc_001,description_mismatch,"LPO, Jake logo wheel center caps. Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_5zd,stingray,5ZD,opt_5zd_001,description_mismatch,"LPO, Carbon Flash wheel center caps with crossed flags logo, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_5zu,stingray,5ZU,opt_5zu_001,description_mismatch,"LPO, High wing spoiler, body-color, Genuine Corvette Accessory","Body-color, G8G, GBA, GKZ only. Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_5zz,stingray,5ZZ,opt_5zz_001,description_mismatch,"LPO, High wing spoiler, Carbon Flash Metallic-painted, Genuine Corvette Accessory","Carbon Flash Metallic-painted, Genuine Corvette Accessory",Review description before apply.
prop_stingray_mechanical_b6p,stingray,B6P,opt_b6p_001,description_mismatch,"Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO","Includes carbon fiber trim, D3V engine lighting and SL9 engine specification plaque.",Review description before apply.
prop_stingray_exterior_edu,stingray,EDU,opt_edu_001,description_mismatch,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents","Body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents",Review description before apply.
prop_stingray_exterior_r88,stingray,R88,opt_r88_001,description_mismatch,"LPO, Illuminated crossed flags emblem, front, Genuine Corvette Accessory","Front, Genuine Corvette Accessory",Review description before apply.
prop_stingray_exterior_rik,stingray,RIK,opt_rik_001,description_mismatch,"LPO, Rear Corvette script badge in Torch Red, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
prop_stingray_exterior_rin,stingray,RIN,opt_rin_001,description_mismatch,"LPO, Rear Corvette script badge in Arctic White, Genuine Corvette Accessory",Genuine Corvette Accessory,Review description before apply.
