model_key,option_id,excel_row,source_rpo,orderable_rpo,ref_only_rpo,source_option_description,raw_source_sheet,raw_source_span,review_status,active,suggested_section_id,suggested_section_name,final_section_id,resolved_section_id,suggested_display_order,final_display_order,final_selectable,final_display_behavior,normalized_status_summary,existing_notes,present_in_target_options,present_in_target_ovs,current_target_section_id,current_target_selectable,current_target_display_behavior,recommended_action,risk_level,rationale,proposed_review_status,proposed_active,proposed_final_section_id,proposed_final_selectable,proposed_final_display_behavior,proposed_notes
z06,opt_085,27,,,,Air filtration system with pollen filter,z06_intextmec_raw,z06_intextmec_raw:15-15,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_095,28,,,,"Console, floor, 2 cup holders, auxiliary power outlet, 3 USB ports (2 type-C, 1 type-A), passenger grab handle and lockable storage",z06_intextmec_raw,z06_intextmec_raw:37-37,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_096,29,,,,"Cruise control, electronic with set and resume speed",z06_intextmec_raw,z06_intextmec_raw:38-38,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_098,30,,,,"Door locks, power programmable with lockout protection",z06_intextmec_raw,z06_intextmec_raw:40-40,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_099,31,,,,"Floor mats, carpeted",z06_intextmec_raw,z06_intextmec_raw:41-41,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_101,32,,,,"Hatch release, push button open",z06_intextmec_raw,z06_intextmec_raw:43-43,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=unavailable; 2lz_h67=unavailable; 3lz_h67=unavailable,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_103,33,,,,"Keyless Open and Start, includes 2 remote transmitters that enable automatic door unlock and open by touching door switch",z06_intextmec_raw,z06_intextmec_raw:45-45,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
z06,opt_105,34,,,,"Lighting, interior, theater dimming",z06_intextmec_raw,z06_intextmec_raw:47-47,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,defer_interior_structure,medium,"Interior/custom trim/stitching semantics should be closed in the interiors pass, not mass-approved during option closure.",deferred,False,,,,"defer_interior_structure: Interior/custom trim/stitching semantics should be closed in the interiors pass, not mass-approved during option closure."
z06,opt_129,35,,,,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need.",z06_intextmec_raw,z06_intextmec_raw:107-110,needs_section_review,False,sec_tech_001,Technology,,sec_tech_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_tech_001,False,,exclude_informational_standard_duplicate,low,No RPO tech/safety/included disclosure appears informational; keep out of option emission unless a standard-equipment summary path needs it.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO tech/safety/included disclosure appears informational; keep out of option emission unless a standard-equipment summary path needs it.
z06,opt_137,36,,,,Remote vehicle starter system,z06_intextmec_raw,z06_intextmec_raw:130-130,needs_section_review,False,sec_stan_001,Standard Equipment,,sec_stan_001,,,,,1lz_h07=standard; 2lz_h07=standard; 3lz_h07=standard; 1lz_h67=standard; 2lz_h67=standard; 3lz_h67=standard,,True,True,sec_stan_001,False,,exclude_informational_standard_duplicate,low,No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.,deferred,False,,,,exclude_informational_standard_duplicate: No RPO standard-equipment disclosure appears informational rather than a selectable/source option row.
