source_file,source_field,source_values,target_table,target_field,alignment_status,transformation_needed,schema_context_confidence,notes
catalog/selectables.csv,has_orderable_rpo,true,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Generated QA metadata.
catalog/selectables.csv,has_ref_rpo,false,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Generated QA metadata.
catalog/selectables.csv,model_key,grand_sport|stingray|z06|zr1|zr1x,data/stingray/catalog/selectables.csv,model_key,target_schema_missing,yes,partial,"Model scope likely belongs to variant/scope relation, not selectable identity alone."
catalog/selectables.csv,notes,Generated proposal files are review artifacts only and must not be copied blindly into data/stingray. They are not canonical source data.,data/stingray/catalog/selectables.csv,notes,review_required,yes,partial,Proposal warnings should not be copied blindly.
catalog/selectables.csv,proposal_filter_status,confident_subset,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Generated confident-subset marker.
catalog/selectables.csv,proposal_scope,primary_matrix_selectable_candidate,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Proposal boundary metadata should not become canonical selectable data.
catalog/selectables.csv,proposal_status,proposal_only,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Proposal-only warning/status metadata.
catalog/selectables.csv,ref_rpo,,data/stingray/catalog/selectables.csv,,review_required,yes,partial,Ref-only evidence must remain separate from orderable selectable identity.
catalog/selectables.csv,review_status,proposal_only,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,"Review workflow metadata, not canonical data."
catalog/selectables.csv,section_family,exterior|interior|mechanical|standard_equipment,data/stingray/catalog/selectables.csv,section_id,target_schema_missing,yes,partial,section_family is a broad importer family and is not final section_id.
catalog/selectables.csv,selectable_source,primary_variant_matrix,data/stingray/catalog/selectables.csv,,excluded_from_first_apply,no,partial,Importer provenance metadata.
