rpo,orderable_count,ref_only_count,source_sheets,model_keys,section_families,sample_descriptions,recommended_action,decision_review_status,decision_classification,decision_canonical_handling,decision_recommended_action,decision_notes
AH2,18,8,Interior 1|Interior 2|Interior 3|Interior 4,grand_sport|stingray|z06|zr1|zr1x,interior,"Seats, GT2 bucket",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
B6P,18,16,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,"Coupe Engine Appearance Package, includes carbon fiber trim and (SL9) engine specification plaque, LPO | Coupe Engine Appearance Package, includes carbon fiber trim, (D3V) engine lighting and (SL9) engine specification plaque, LPO",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
C2Z,36,16,Exterior 1|Exterior 2|Exterior 3|Exterior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,exterior|standard_equipment,"Roof panel, visible carbon fiber with body-color surround, removable",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
CFV,24,16,Exterior 2|Exterior 3|Exterior 4|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|z06|zr1|zr1x,exterior|standard_equipment,"Ground effects, visible carbon fiber | Ground effects, visible carbon fiber
1. Included with (T0G) Visible Carbon Fiber Aero Package. | Ground effects, visible carbon fiber
1. Not available at this time.",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
D3V,36,16,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,"Engine lighting | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers. | Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BCW) Red engine intake.",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
DY0,12,16,Interior 3|Interior 4|Standard Equipment 3|Standard Equipment 4,z06|zr1|zr1x,interior|standard_equipment,"Display hood, Carbon Fiber, located above the Driver Information Center display",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
SL9,36,16,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
UQT,36,16,Interior 1|Interior 2|Interior 3|Interior 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,interior|standard_equipment,Performance data and video recorder,review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
WUB,24,28,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 1|Standard Equipment 2|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,"NEW!  Exhaust, quad center exit | NEW!  Exhaust, quad center exit
1. Included with (FEY) Z52 Track Performance Package.",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
ZZ3,24,16,Mechanical 1|Mechanical 2|Mechanical 3|Mechanical 4|Standard Equipment 3|Standard Equipment 4,grand_sport|stingray|z06|zr1|zr1x,mechanical|standard_equipment,"Convertible Engine Appearance Package, includes window under tonneau cover, (BC7) Black LS6 engine cover and (SL9) engine specification plaque, LPO | Convertible Engine Appearance Package, includes window under tonneau cover, engine intake and (SL9) engine specification plaque, LPO",review_orderable_vs_reference_usage_before_proposal,accepted_expected_overlap,orderable_and_ref_only_expected,keep_separate_evidence,review_orderable_vs_reference_usage_before_proposal,Accepted as expected raw evidence; the same RPO may be selectable in one context and reference/standard/included evidence in another.
