source_sheet,source_row,guide_family,model_key,model_key_confidence,source_field,raw_text,phrase_type,extracted_rpos,confidence,review_status,notes
Standard Equipment 1,25,corvette,stingray,high,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,62,corvette,stingray,high,description,"Cooling system, heavy-duty
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,65,corvette,stingray,high,description,"LS6 engine cover, Black
1. Included and only available with (ZZ3) Convertible Engine Appearance Package.",only_available_with,LS6|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,67,corvette,stingray,high,description,"Engine lighting
1. Included with (B6P) Coupe Engine Appearance Package or (BC4/BCP/BCS) LS6 engine covers.",included_with,B6P|BC4|BCP|BCS|LS6,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,73,corvette,stingray,high,description,"LPO, Engine specification plaque, Genuine Corvette Accessory
1. Included with (B6P/ZZ3) Engine Appearance Package.",included_with,B6P|LPO|ZZ3,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,75,corvette,stingray,high,description,"Performance Traction Management
1. Included and only available with (FE4) Z51 performance suspension with Magnetic Selective Ride Control.",only_available_with,FE4|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,76,corvette,stingray,high,description,"Rear axle, 5.56 ratio
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 1,82,corvette,stingray,high,description,"NEW!  Transmission, 8-speed dual clutch, includes manual and auto modes
1. Included and only available with (Z51) Z51 Performance Package.",only_available_with,NEW|Z51,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,25,corvette,grand_sport,high,description,"OnStar Basics (OnStar Fleet Basics for Fleet) Drive with confidence and convenience using core OnStar services, featuring built-in voice assistance, real-time navigation, and access to audio streaming apps. With your vehicle mobile app, you can seamlessly manage your vehicle by sending commands and enjoy peace of mind knowing Automatic Crash Response can connect you to help if you’re in need. 
1. Requires (UE1) OnStar. OnStar Basics is standard for 8 years; working electrical system, cell reception and GPS signal required. OnStar links to emergency services. Service coverage varies with conditions and location. Service availability, features and functionality vary by device and software version. Subject to user terms. See onstar.com for details and limitations. Removed with a ship-to of Guam, Puerto Rico or the Virgin Islands.",requires,GPS|UE1,high,needs_review,Staging candidate only; no canonical rule generated.
Standard Equipment 2,57,corvette,grand_sport,high,description,"Brakes, 4-wheel antilock, 4-wheel disc, performance 6-piston front and 4-piston rear
1. Included and only available with (FEB) Z52 Sport Performance Package.",only_available_with,FEB|Z52,high,needs_review,Staging candidate only; no canonical rule generated.
