proposal_selectable_id,model_key,orderable_rpo,candidate_canonical_selectable_id_preview,candidate_id_status,proposal_label,description,source_ref_count,notes
prop_stingray_interior_36s,stingray,36S,sel_stingray_36s,preview_only,"Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console","Competition Yellow custom leather stitch, includes seats, instrument panel, doors and console",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_379,stingray,379,sel_stingray_379,preview_only,"Seat belt color, Orange","Seat belt color, Orange",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_37s,stingray,37S,sel_stingray_37s,preview_only,"Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console","Santorini Blue custom leather stitch, includes seats, instrument panel, doors and console",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_38s,stingray,38S,sel_stingray_38s,preview_only,"Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console","Adrenaline Red custom leather stitch, includes seats, instrument panel, doors and console",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_3a9,stingray,3A9,sel_stingray_3a9,preview_only,"Seat belt color, Santorini Blue","Seat belt color, Santorini Blue",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_3f9,stingray,3F9,sel_stingray_3f9,preview_only,"Seat belt color, Torch Red","Seat belt color, Torch Red",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_3m9,stingray,3M9,sel_stingray_3m9,preview_only,"Seat belt color, Yellow","Seat belt color, Yellow",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_3n9,stingray,3N9,sel_stingray_3n9,preview_only,"Seat belt color, Natural","Seat belt color, Natural",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5dg,stingray,5DG,sel_stingray_5dg,preview_only,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 20-spoke Tech Bronze aluminum wheels. Includes Black lug nuts, Black wheel locks, and Tech Bronze wheel center caps. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5do,stingray,5DO,sel_stingray_5do,preview_only,"LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory","LPO, 19"" x 8.5"" (48.3 cm x 21.6 cm) front and 20"" x 11"" (50.8 cm x 25.4 cm) rear 15-spoke bright polished aluminum wheels. Includes Chrome lug nuts and Chrome wheel locks. Accessory LPO wheels are a second set of wheels. Please ensure customer desires 2 sets of wheels before ordering. Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5jr,stingray,5JR,sel_stingray_5jr,preview_only,"LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory","LPO, Outside mirror covers in visible Carbon Fiber, includes (DRG) Carbon Flash Metallic-painted outside mirrors, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5vm,stingray,5VM,sel_stingray_5vm,preview_only,"LPO, Visible Carbon Fiber Ground Effects, Genuine Corvette Accessory","LPO, Visible Carbon Fiber Ground Effects, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5w8,stingray,5W8,sel_stingray_5w8,preview_only,"LPO, Carbon Fiber Ground Effects, Carbon Flash Metallic-painted, Genuine Corvette Accessory","LPO, Carbon Fiber Ground Effects, Carbon Flash Metallic-painted, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_5zw,stingray,5ZW,sel_stingray_5zw,preview_only,"LPO, Two-Stanchion spoiler, Visible Carbon Fiber, Genuine Corvette Accessory","LPO, Two-Stanchion spoiler, Visible Carbon Fiber, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_ae4,stingray,AE4,sel_stingray_ae4,preview_only,"Seats, Competition Sport bucket","Seats, Competition Sport bucket",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_aup,stingray,AUP,sel_stingray_aup,preview_only,"Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket","Seats, mixed, driver Competition Sport bucket, passenger GT2 bucket",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_baz,stingray,BAZ,sel_stingray_baz,preview_only,"Stealth Interior Trim Package, dark finish aluminum trim","Stealth Interior Trim Package, dark finish aluminum trim",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_bv4,stingray,BV4,sel_stingray_bv4,preview_only,"Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN","Plaque, personalized, custom-made with your name or up to 24-character word or phrase limit and VIN",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_c2z,stingray,C2Z,sel_stingray_c2z_446af105,preview_only,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_standard_equipment_c2z,stingray,C2Z,sel_stingray_c2z_1c505f43,preview_only,"Roof panel, visible carbon fiber with body-color surround, removable","Roof panel, visible carbon fiber with body-color surround, removable",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_cav,stingray,CAV,sel_stingray_cav,preview_only,"LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory","LPO, Contoured cargo area liners with Jake logo, Genuine Corvette Accessory",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_cc3,stingray,CC3,sel_stingray_cc3,preview_only,"Roof panel, transparent, removable","Roof panel, transparent, removable",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_cf8,stingray,CF8,sel_stingray_cf8,preview_only,"Roof panel, electrochromic dimming, removable","Roof panel, electrochromic dimming, removable",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_interior_d30,stingray,D30,sel_stingray_d30,preview_only,"Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations","Color Combination Override, provides the opportunity to individualize vehicle appearance by overriding recommended restrictions to exterior, interior and seat  belt color combinations",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_d84,stingray,D84,sel_stingray_d84,preview_only,"Convertible top, Carbon Flash-painted nacelles and roof","Convertible top, Carbon Flash-painted nacelles and roof",6,Candidate ID preview only; not an approved canonical selectable_id.
prop_stingray_exterior_d86,stingray,D86,sel_stingray_d86,preview_only,"Convertible top, Carbon Flash-painted nacelles and body-color roof","Convertible top, Carbon Flash-painted nacelles and body-color roof",6,Candidate ID preview only; not an approved canonical selectable_id.
